id,url_id,url,date,time,price,provider,seat_number,location_name,court_type,time_category,duration,review_count,prepayment_required,created_at,updated_at,extracted_at
36214,2,,2026-08-25,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.764119,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36213,2,,2026-08-18,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.764053,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36212,2,,2026-06-09,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763986,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36211,2,,2026-06-02,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763924,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36210,2,,2026-05-31,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763861,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36209,2,,2026-05-24,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.7638,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36208,2,,2026-05-17,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763732,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36207,2,,2026-05-10,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763644,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36206,2,,2026-05-03,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.76358,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36205,2,,2026-04-26,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763512,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36204,2,,2026-04-19,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763444,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36203,2,,2026-04-12,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763374,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36202,2,,2026-04-07,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763284,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36201,2,,2026-04-05,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763176,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36200,2,,2026-03-29,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763109,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36199,2,,2026-03-24,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.763043,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36198,2,,2026-03-22,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.762974,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36197,2,,2026-03-17,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.762875,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36196,2,,2026-03-15,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.762791,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36195,2,,2026-03-08,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.76272,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36194,2,,2026-03-01,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.762626,2025-10-31T16:31:58.968727,2025-10-31T16:31:58.968727
36193,2,,2026-02-26,,Цена не найдена,Не указан,,,,,60,,False,2025-10-31T16:31:58.762559,2025-10-31T16:31:58.84231,2025-10-31T16:31:58.84231
